company_name,website,description,icp_fit,fit_reasoning,employee_count,type
Bolton Event Venues 3,https://www.boltoneventvenues3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 460 employees. High alignment to target ICP for hotel operators and RE.,221,hospitality_re
Bolton Event Venues 4,https://www.boltoneventvenues4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 142 employees. High alignment to target ICP for hotel operators and RE.,185,hospitality_re
Bolton Event Venues 5,https://www.boltoneventvenues5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 80 employees. High alignment to target ICP for hotel operators and RE.,601,hotel_operator
Bolton Hospitality Ltd 1,https://www.boltonhospitalityltd1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 311 employees. High alignment to target ICP for hotel operators and RE.,1082,hotel_operator
Bolton Hospitality Ltd 5,https://www.boltonhospitalityltd5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 70 employees. High alignment to target ICP for hotel operators and RE.,187,hospitality_re
Bolton Hotel Group 2,https://www.boltonhotelgroup2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 158 employees. High alignment to target ICP for hotel operators and RE.,64,hotel_operator
Bolton Hotel Group 5,https://www.boltonhotelgroup5.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 124 employees. High alignment to target ICP for hotel operators and RE.,128,hotel_operator
Bolton Inn Collection 2,https://www.boltoninncollection2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 190 employees. High alignment to target ICP for hotel operators and RE.,920,hospitality_re
Bolton Inn Collection 3,https://www.boltoninncollection3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 221 employees. High alignment to target ICP for hotel operators and RE.,818,hotel_operator
Bolton Inn Collection 4,https://www.boltoninncollection4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 378 employees. High alignment to target ICP for hotel operators and RE.,808,hotel_operator
Bolton Inn Collection 5,https://www.boltoninncollection5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 456 employees. High alignment to target ICP for hotel operators and RE.,59,hospitality_re
Bolton Leisure Operators 2,https://www.boltonleisureoperators2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 162 employees. High alignment to target ICP for hotel operators and RE.,80,hospitality_re
Bolton Leisure Operators 3,https://www.boltonleisureoperators3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 500 employees. High alignment to target ICP for hotel operators and RE.,378,hospitality_re
Bolton Premier Hotels 1,https://www.boltonpremierhotels1.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 287 employees. High alignment to target ICP for hotel operators and RE.,479,hotel_operator
Bolton Premier Hotels 2,https://www.boltonpremierhotels2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 436 employees. High alignment to target ICP for hotel operators and RE.,1121,hospitality_re
Bolton Premier Hotels 5,https://www.boltonpremierhotels5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 427 employees. High alignment to target ICP for hotel operators and RE.,160,hotel_operator
Bolton Property Holdings 1,https://www.boltonpropertyholdings1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 84 employees. High alignment to target ICP for hotel operators and RE.,109,hotel_operator
Bolton Property Holdings 2,https://www.boltonpropertyholdings2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 298 employees. High alignment to target ICP for hotel operators and RE.,916,hospitality_re
Bolton Property Holdings 3,https://www.boltonpropertyholdings3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 191 employees. High alignment to target ICP for hotel operators and RE.,147,hospitality_re
Bolton Property Holdings 4,https://www.boltonpropertyholdings4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 352 employees. High alignment to target ICP for hotel operators and RE.,433,hospitality_re
Bolton Property Holdings 5,https://www.boltonpropertyholdings5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 159 employees. High alignment to target ICP for hotel operators and RE.,788,hospitality_re
Bolton RE Partners 1,https://www.boltonrepartners1.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 490 employees. High alignment to target ICP for hotel operators and RE.,953,hospitality_re
Bolton RE Partners 4,https://www.boltonrepartners4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 306 employees. High alignment to target ICP for hotel operators and RE.,1111,hospitality_re
Bolton RE Partners 5,https://www.boltonrepartners5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 72 employees. High alignment to target ICP for hotel operators and RE.,510,hotel_operator
Bury Boutique Stays 3,https://www.buryboutiquestays3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 174 employees. High alignment to target ICP for hotel operators and RE.,912,hospitality_re
Bury Corporate Housing 2,https://www.burycorporatehousing2.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 164 employees. High alignment to target ICP for hotel operators and RE.,241,hospitality_re
Bury Corporate Housing 3,https://www.burycorporatehousing3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 212 employees. High alignment to target ICP for hotel operators and RE.,1096,hotel_operator
Bury Corporate Housing 4,https://www.burycorporatehousing4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 413 employees. High alignment to target ICP for hotel operators and RE.,34,hotel_operator
Bury Corporate Housing 5,https://www.burycorporatehousing5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 243 employees. High alignment to target ICP for hotel operators and RE.,768,hotel_operator
Bury Event Venues 1,https://www.buryeventvenues1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 192 employees. High alignment to target ICP for hotel operators and RE.,1161,hotel_operator
Bury Event Venues 3,https://www.buryeventvenues3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 388 employees. High alignment to target ICP for hotel operators and RE.,1087,hotel_operator
Bury Event Venues 5,https://www.buryeventvenues5.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 154 employees. High alignment to target ICP for hotel operators and RE.,663,hotel_operator
Bury Hospitality Ltd 1,https://www.buryhospitalityltd1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 418 employees. High alignment to target ICP for hotel operators and RE.,1000,hospitality_re
Bury Hospitality Ltd 2,https://www.buryhospitalityltd2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 243 employees. High alignment to target ICP for hotel operators and RE.,275,hospitality_re
Bury Hospitality Ltd 5,https://www.buryhospitalityltd5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 340 employees. High alignment to target ICP for hotel operators and RE.,1107,hospitality_re
Bury Hotel Group 2,https://www.buryhotelgroup2.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 165 employees. High alignment to target ICP for hotel operators and RE.,1121,hospitality_re
Bury Hotel Group 4,https://www.buryhotelgroup4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 462 employees. High alignment to target ICP for hotel operators and RE.,1178,hotel_operator
Bury Hotel Group 5,https://www.buryhotelgroup5.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 53 employees. High alignment to target ICP for hotel operators and RE.,635,hotel_operator
Bury Inn Collection 1,https://www.buryinncollection1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 80 employees. High alignment to target ICP for hotel operators and RE.,488,hotel_operator
Bury Inn Collection 2,https://www.buryinncollection2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 453 employees. High alignment to target ICP for hotel operators and RE.,25,hospitality_re
Bury Inn Collection 3,https://www.buryinncollection3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 375 employees. High alignment to target ICP for hotel operators and RE.,432,hospitality_re
Bury Inn Collection 5,https://www.buryinncollection5.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 246 employees. High alignment to target ICP for hotel operators and RE.,155,hospitality_re
Bury Leisure Operators 1,https://www.buryleisureoperators1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 440 employees. High alignment to target ICP for hotel operators and RE.,652,hospitality_re
Bury Leisure Operators 2,https://www.buryleisureoperators2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 81 employees. High alignment to target ICP for hotel operators and RE.,409,hospitality_re
Bury Leisure Operators 4,https://www.buryleisureoperators4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 193 employees. High alignment to target ICP for hotel operators and RE.,834,hotel_operator
Bury Leisure Operators 5,https://www.buryleisureoperators5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 477 employees. High alignment to target ICP for hotel operators and RE.,642,hotel_operator
Bury Premier Hotels 1,https://www.burypremierhotels1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 169 employees. High alignment to target ICP for hotel operators and RE.,1054,hotel_operator
Bury Premier Hotels 2,https://www.burypremierhotels2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 444 employees. High alignment to target ICP for hotel operators and RE.,359,hospitality_re
Bury Premier Hotels 3,https://www.burypremierhotels3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 161 employees. High alignment to target ICP for hotel operators and RE.,928,hospitality_re
Bury Premier Hotels 4,https://www.burypremierhotels4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 60 employees. High alignment to target ICP for hotel operators and RE.,685,hotel_operator
Bury Premier Hotels 5,https://www.burypremierhotels5.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 482 employees. High alignment to target ICP for hotel operators and RE.,957,hotel_operator
Bury Property Holdings 2,https://www.burypropertyholdings2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 433 employees. High alignment to target ICP for hotel operators and RE.,835,hospitality_re
Bury Property Holdings 3,https://www.burypropertyholdings3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 157 employees. High alignment to target ICP for hotel operators and RE.,878,hospitality_re
Bury Property Holdings 5,https://www.burypropertyholdings5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 73 employees. High alignment to target ICP for hotel operators and RE.,486,hospitality_re
Bury RE Partners 1,https://www.buryrepartners1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 314 employees. High alignment to target ICP for hotel operators and RE.,850,hotel_operator
Bury RE Partners 2,https://www.buryrepartners2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 495 employees. High alignment to target ICP for hotel operators and RE.,803,hotel_operator
Bury RE Partners 4,https://www.buryrepartners4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 425 employees. High alignment to target ICP for hotel operators and RE.,904,hospitality_re
Greater Manchester Boutique Stays 1,https://www.greatermanchesterboutiquestays1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 443 employees. High alignment to target ICP for hotel operators and RE.,297,hospitality_re
Greater Manchester Boutique Stays 3,https://www.greatermanchesterboutiquestays3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 307 employees. High alignment to target ICP for hotel operators and RE.,656,hotel_operator
Greater Manchester Boutique Stays 4,https://www.greatermanchesterboutiquestays4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 431 employees. High alignment to target ICP for hotel operators and RE.,56,hotel_operator
Greater Manchester Corporate Housing 2,https://www.greatermanchestercorporatehousing2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 274 employees. High alignment to target ICP for hotel operators and RE.,919,hotel_operator
Greater Manchester Corporate Housing 3,https://www.greatermanchestercorporatehousing3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 471 employees. High alignment to target ICP for hotel operators and RE.,1023,hotel_operator
Greater Manchester Corporate Housing 4,https://www.greatermanchestercorporatehousing4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 468 employees. High alignment to target ICP for hotel operators and RE.,801,hotel_operator
Greater Manchester Event Venues 3,https://www.greatermanchestereventvenues3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 76 employees. High alignment to target ICP for hotel operators and RE.,387,hotel_operator
Greater Manchester Hospitality Ltd 1,https://www.greatermanchesterhospitalityltd1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 146 employees. High alignment to target ICP for hotel operators and RE.,257,hospitality_re
Greater Manchester Hospitality Ltd 4,https://www.greatermanchesterhospitalityltd4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 64 employees. High alignment to target ICP for hotel operators and RE.,114,hospitality_re
Greater Manchester Hospitality Ltd 5,https://www.greatermanchesterhospitalityltd5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 441 employees. High alignment to target ICP for hotel operators and RE.,1179,hotel_operator
Greater Manchester Hotel Group 1,https://www.greatermanchesterhotelgroup1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 277 employees. High alignment to target ICP for hotel operators and RE.,283,hotel_operator
Greater Manchester Hotel Group 2,https://www.greatermanchesterhotelgroup2.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 91 employees. High alignment to target ICP for hotel operators and RE.,989,hotel_operator
Greater Manchester Hotel Group 3,https://www.greatermanchesterhotelgroup3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 427 employees. High alignment to target ICP for hotel operators and RE.,229,hotel_operator
Greater Manchester Inn Collection 3,https://www.greatermanchesterinncollection3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 440 employees. High alignment to target ICP for hotel operators and RE.,399,hotel_operator
Greater Manchester Inn Collection 4,https://www.greatermanchesterinncollection4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 102 employees. High alignment to target ICP for hotel operators and RE.,661,hospitality_re
Greater Manchester Leisure Operators 1,https://www.greatermanchesterleisureoperators1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 352 employees. High alignment to target ICP for hotel operators and RE.,827,hospitality_re
Greater Manchester Leisure Operators 4,https://www.greatermanchesterleisureoperators4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 419 employees. High alignment to target ICP for hotel operators and RE.,559,hotel_operator
Greater Manchester Premier Hotels 2,https://www.greatermanchesterpremierhotels2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 348 employees. High alignment to target ICP for hotel operators and RE.,225,hotel_operator
Greater Manchester Premier Hotels 4,https://www.greatermanchesterpremierhotels4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 353 employees. High alignment to target ICP for hotel operators and RE.,933,hospitality_re
Greater Manchester Property Holdings 1,https://www.greatermanchesterpropertyholdings1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 312 employees. High alignment to target ICP for hotel operators and RE.,1139,hotel_operator
Greater Manchester Property Holdings 2,https://www.greatermanchesterpropertyholdings2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 261 employees. High alignment to target ICP for hotel operators and RE.,429,hospitality_re
Greater Manchester Property Holdings 3,https://www.greatermanchesterpropertyholdings3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 384 employees. High alignment to target ICP for hotel operators and RE.,667,hotel_operator
Greater Manchester Property Holdings 4,https://www.greatermanchesterpropertyholdings4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 177 employees. High alignment to target ICP for hotel operators and RE.,158,hospitality_re
Greater Manchester Property Holdings 5,https://www.greatermanchesterpropertyholdings5.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 204 employees. High alignment to target ICP for hotel operators and RE.,197,hospitality_re
Greater Manchester RE Partners 1,https://www.greatermanchesterrepartners1.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 335 employees. High alignment to target ICP for hotel operators and RE.,1156,hospitality_re
Greater Manchester RE Partners 2,https://www.greatermanchesterrepartners2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 467 employees. High alignment to target ICP for hotel operators and RE.,52,hotel_operator
Greater Manchester RE Partners 3,https://www.greatermanchesterrepartners3.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 88 employees. High alignment to target ICP for hotel operators and RE.,948,hospitality_re
Greater Manchester RE Partners 4,https://www.greatermanchesterrepartners4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 124 employees. High alignment to target ICP for hotel operators and RE.,893,hotel_operator
Manchester Boutique Stays 1,https://www.manchesterboutiquestays1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 95 employees. High alignment to target ICP for hotel operators and RE.,601,hospitality_re
Manchester Boutique Stays 3,https://www.manchesterboutiquestays3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 274 employees. High alignment to target ICP for hotel operators and RE.,260,hotel_operator
Manchester Boutique Stays 4,https://www.manchesterboutiquestays4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 66 employees. High alignment to target ICP for hotel operators and RE.,1071,hotel_operator
Manchester Boutique Stays 5,https://www.manchesterboutiquestays5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 386 employees. High alignment to target ICP for hotel operators and RE.,617,hotel_operator
Manchester Corporate Housing 2,https://www.manchestercorporatehousing2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 125 employees. High alignment to target ICP for hotel operators and RE.,588,hotel_operator
Manchester Corporate Housing 4,https://www.manchestercorporatehousing4.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 263 employees. High alignment to target ICP for hotel operators and RE.,675,hospitality_re
Manchester Corporate Housing 5,https://www.manchestercorporatehousing5.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 52 employees. High alignment to target ICP for hotel operators and RE.,1192,hospitality_re
