company_name,website,hotel_type,estimated_rooms,london_area,icp_fit_level,icp_fit_reasoning
Charlotte Street London,https://www.booking.com/hotel/gb/charlotte-street-london.html?label=gen173nr-1BCAsoUEIXY2hhcmxvdHRlLXN0cmVldC1sb25kb25IKFgEaJUCiAEBmAExuAEYyAEM2AEB6AEBiAIBqAIEuALSoLjCBsACAdICJDAwMzE3N2NjLWVhYjAtNGJkOS1iMDliLTRmOWQ5ZjcyY2YxZNgCBeACAQ&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Soho,High,"100+ rooms, luxury p"
Charlotte Street London.En Gb,https://www.booking.com/hotel/gb/charlotte-street-london.en-gb.html,luxury,200+,Soho,High,"100+ rooms, luxury p"
Charming Victorian Retreat In South London Modern Comforts Prime Location.En Gb,https://www.booking.com/hotel/gb/charming-victorian-retreat-in-south-london-modern-comforts-prime-location.en-gb.html,boutique,200+,Soho,High,"100+ rooms, luxury p"
Charming Victorian Retreat In South London Modern Comforts Prime Location.Hr,https://www.booking.com/hotel/gb/charming-victorian-retreat-in-south-london-modern-comforts-prime-location.hr.html,luxury,200+,Covent Garden,High,"100+ rooms, luxury p"
Chesterfieldmayfair,https://chesterfieldmayfair.com/meetings-and-events/weddings,luxury,50-100,Mayfair,High,luxury; group events
Claridge's,https://www.claridges.co.uk/,luxury,100-200,Mayfair,High,"5-star luxury, Mayfair"
Clayton Hotel Chiswick London,https://claytonhotels.com/chiswick,upscale,50-100,London,High,"4-star, 50-100 rooms..."
Conferencehotelgroup,https://www.conferencehotelgroup.com/hotels/1455/Royal-Lancaster-London,boutique,200+,Knightsbridge,High,"5-star, 200+ rooms, ..."
Connaught Hotel,https://inte.the-connaught.co.uk/ ,independent,50-100,Mayfair,High,Luxury/5-star
Conrad London St. James,https://www.conradhotels.com/en-us/hotels/london,luxury,100-200,Westminster,High,"5-star luxury, St James"
Containers London,https://www.venuecrew.com/uk/venues/sea-containers-london/ ,boutique,200+,City,High,"Luxury/5-star, Group-ready"
Corinthia London,https://www.corinthia.com/en-gb/london/spa-at-corinthia-london,luxury,200+,Central,High,Luxury 4-5 star grou
Couture Events,https://www.couture-events.co.uk/journal/kousnf8paszvdbs2ofes4mgvi8567d,luxury,50-100,Central London,High,luxury; group events
Crimsonhotels,https://www.crimsonhotels.com/queens-gate-hotel-london/meeting/knightsbridge-kensington/,luxury,200+,Kensington,High,"200+ rooms, group-fo..."
Crowne Plaza London Albert Embankment,https://www.booking.com/hotel/gb/crowne-plaza-london-albert-embankment.html?label=gen173nr-1BCAsoUEIlY3Jvd25lLXBsYXphLWxvbmRvbi1hbGJlcnQtZW1iYW5rbWVudEgOWARosAKIAQGYATG4ARjIAQzYAQHoAQGIAgGoAgS4Au7ExsAGwAIB0gIkYWM1NzEzZDEtMjQ2NC00ZGE5LWIxZDUtYTRkNGQ4Y2YwYzQ22AIF4AIB&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Westminster,High,"100+ rooms, luxury p"
Crowne Plaza London Kings Cross,https://www.trip.com/hotels/london-hotel-detail-2196192/crowne-plaza-london-kings-cross/,chain,Unknown,King's Cross,High,Luxury property | group-focused
Cvent Hotel,https://www.cvent.com/venues/london/hotel/strand-palace/venue-1cac4871-bffd-436d-a2b8-e4e9bb450c11,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Deluxe Hotel Room Tower Bridge,https://www.fourseasons.com/towerbridge/accommodations/guest_rooms/deluxe_room/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Destination,https://www.sixsenses.com/en/hotels-resorts/europe/united-kingdom/london/destination/ ,boutique,Unknown,Paddington,High,Luxury property | group-focused
"Dorset Square Hotel, Firmdale Hotels 5",https://dorsetsquarehotels.londonahotel.com/en/,luxury,50-100,Westminster,High,"5-star, 50-100 rooms..."
Doubletree By Hilton Hotel London Docklands Riverside,https://doubletree-by-hilton-hotel-london-docklands-riverside.londonhotelsgb.com/,luxury,100-200,Central London,High,luxury-boutique +...
Doubletreebyriversidelondon,https://doubletreebyriversidelondon.uk-hotel.co.uk/en/,chain,100-200,Central London,High,50+ rooms + group...
DUKES London,https://www.dukeshotel.com/,luxury,50-100,Mayfair,High,"5-star luxury, Mayfair, group bookings, boutique"
Egertonhousehotel,https://egertonhousehotel.com/,luxury,100-200,Knightsbridge,High,luxury-boutique +...
Ep 535667,https://www.casai.com/property/pullman-london-st-pancras/EP-535667,business,Unknown,King's Cross,High,Luxury property | group-focused
Events Spaces London,https://www.apexhotels.co.uk/destinations/london/apex-temple-court-hotel/meetings-events/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
EXCELLENT Hotels Near Tower Bridge in London,https://www.hotelplanner.com/Hotels/21770-NEAR-Tower-Bridge,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Executive Double Room with Tower Bridge View,https://www.thistle.com/the-tower/rooms/executive-double-room-with-tower-bridge-view-room,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Executive Twin Tower Bridge View,https://www.thistle.com/the-tower/rooms/executive-twin-room,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Fairmont Hotel,https://meetings.accor.com/hotel/A597/index.en.shtml,luxury,50-100,West End,High,"Luxury/5-star, Group-ready"
Fairmont Windsorpark,http://fairmont-windsorpark.com/,luxury,50-100,Central London,High,luxury; group events
Fitzrovia,https://theluxuryeditor.com/location/europe/united-kingdom/england/greater-london/london/fitzrovia/ ,boutique,100-200,Fitzrovia,High,Luxury property | 100+ rooms
Flemings.En Gb,https://www.booking.com/hotel/gb/flemings.en-gb.html,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
Four Seasons Hotel London At Tower Bridge,https://us.londonhotels5star.com/four-seasons-at-tower-bridge/,luxury,100-200,Tower Hamlets,High,"4-5 star, luxury-bra"
FOUR SEASONS HOTEL LONDON AT TOWER BRIDGE • BANQUET HALL,https://fourseasonsbridge.londonahotel.com/en/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
FOUR SEASONS HOTEL LONDON AT TOWER BRIDGE ✰ 3 RESTAURANTS,https://fourseasonsbridge.londonahotel.com/fr/ ,independent,100-200,Tower Hamlets,High,"group-focused, luxur"
Four Seasons Hotel London Tower Bridge,https://www.fourseasons.com/towerbridge/,luxury,100-200,Tower Hamlets,High,"4-5 star, luxury-bra"
Four Seasons London,https://www.fourseasons.com/london/,luxury,100-200,Mayfair,High,"5-star luxury, Mayfair"
Four Seasons London At Ten Trinity Square,https://www.booking.com/hotel/gb/four-seasons-london-at-ten-trinity-square.html,luxury,200+,Piccadilly,High,"100+ rooms, luxury p"
Fourseasons,http://www.fourseasons.com/london/weddings/,luxury,50-100,Park Lane,High,luxury; group events
Fourseasonssquarelondon.uk Hotel,https://fourseasonssquarelondon.uk-hotel.co.uk/en/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Fulham Pier Hotel – London's Premier Riverside Destination,https://www.fulhampierhotel.com/ ,boutique,100-200,Central London,High,luxury-boutique +...
,,,,,,
Fulhampierhotel,https://fulhampierhotel.co.uk/,boutique,100-200,Central London,High,luxury-boutique +...
Gainsborough Hotel 4,https://gainsborough.londonahotel.com/en/  ,boutique,50-100,Kensington,High,"4-star, 50-100 rooms..."
Gem Fitzrovia Hotel,https://gemhotels.com/hotels-london/gem-fitzrovia-hotel/  ,boutique,Unknown,Fitzrovia,High,Luxury property | group-focused
Grandroyalelondon,https://www.grandroyalelondon.co.uk/,luxury,Unknown,Paddington,High,Luxury property | group-focused
Grangefitzroviahotel,https://grangefitzroviahotel.com/ ,boutique,Unknown,Fitzrovia,High,Luxury property | group-focused
Grangefitzrovialondon.Hotelmix,https://www.gemhotels.com/ ,boutique,50-100,Fitzrovia,High,4-star | 50+ rooms
Grosvenor House London,https://www.booking.com/hotel/gb/grosvenor-house-london.html,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
Group Offer,https://www.rosewoodhotels.com/en/london/offers/group-offer,chain,50-100,West End,High,"Luxury/5-star, Group-ready"
Group Stays at The Savoy,https://thesavoylondon.com/groups,luxury,50-100,West End,High,"Luxury/5-star, Group-ready"
"Hammersmith City Bed and Breakfast, Cheap Hotel and Guest House Accommodation",https://www.bedandbreakfasts.co.uk/hammersmith-city/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Hempel Hotel,https://grokipedia.com/page/hempel_hotel,boutique,50-100,Westminster,High,"5-star, 50-100 rooms..."
Hilton London Bankside,https://www.hiltonlondonbankside.com,luxury,200+,Southwark,High,4-5 star with meeting/ballroom facilities
Hilton London Metropole,https://www.hilton.com/en/hotels/lonhitm-hilton-london-metropole/,business,200+,Mayfair,High,"4-star, 200+ rooms, group-focused"
Hilton London Olympia,https://www.hiltonlondonolympia.com,luxury,200+,Hammersmith,High,4-5 star with meeting/ballroom facilities
Holmes Hotel London,https://www.holmeshotel.com/meetings-events-packages/,independent,100-200,Central London,High,50+ rooms + group...
Hopegoo Hotel,https://www.hopegoo.com/en-us/hot-hotels/landmark/regent-street-st-james-s-post-office-205350/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Hotel Café Royal,https://ccevents.org.uk/venue/hotel-cafe-royal-conference-and-events/,luxury,200+,Central,High,Luxury 4-5 star grou
Hotel Detail.Php,https://www.businesshotels.com/hotel-detail.php?adults=2&category=City&children=0&cityid=800013148&cityname=London&currency=USD&hotel-name=The+Park+Tower+Knightsbridge+a+Luxury+Collection+Hotel+London&hotel_id=700015159&lat=51.5020022&lng=-0.158769&rooms=1,business,Unknown,Knightsbridge,High,Luxury property | group-focused
Hotel Indigo London,https://uk.trip.com/hotels/london-hotel-detail-15779911/hotel-indigo-london-1-leicester-square/,chain,100-200,Westminster,High,"4-5 star, group-focu"
Hotel Near Tower Bridge,https://www.thistle.com/the-tower,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Hotel Riu Plaza London The Westminster,https://hotelwestminster.co.uk/,luxury,100-200,Westminster,High,5-star Westminster hotel
Hotelcaferoyal,https://hotelcaferoyal.com/,independent,50-100,West End,High,"Luxury/5-star, Group-ready"
Hoteldetail,https://www.ihg.com/crowneplaza/hotels/gb/en/london/lonkc/hoteldetail,business,Unknown,King's Cross,High,Luxury property | group-focused
Hotels for Groups in London,https://www.athenaeumhotel.com/accommodation/groups/,independent,100-200,Central London,High,50+ rooms + group...
"Hotels in Hammersmith and Fulham, London from $61/night",https://www.kayak.com/London-Hotels_Hammersmith-and-Fulham.N206078.28501.hotel.ksp,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Hotels in London — Best Prices and Free Cancellation,https://montagu-square-vi-by-onefinestay.at-london-hotels.com/en/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Hotels in Maida Vale London,https://www.londonhotelsgb.com/en/near-maida-vale-dr132683/,luxury,200+,Notting Hill,High,"Premium, 100+ rooms, group events"
Hotels in Piccadilly,http://www.thezhotels.com/z-piccadilly,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Hotels in Regent's Park London,https://www.londonhotelsgb.com/en/near-regent-s-park-dr899532/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Hotels in St. James London,https://www.at-london-hotels.com/en/near-st-james-dr899439/,luxury,50-100,Westminster,High,"4-5 star, group-focu"
Hotels Near Borough Market,https://www.ihg.com/london-united-kingdom/hotels-near-borough-market,chain,Unknown,Fitzrovia,High,Luxury property | group-focused
"Hotels near Hammersmith Apollo, London",https://www.hotelslondon24.com/en/near-hammersmith-apollo-378247/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
"Hotels near Mayfair, London",https://www.stjameshotelandclub.com/en/local-attractions/mayfair,luxury,100-200,Westminster,High,"4-5 star, luxury-bra"
Hotels near Primark in Hammersmith and Fulham,https://uk.trip.com/hot/hotels-near-primark-hammersmith-and-fulham/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Hotels near Regent Street (London) from £49/night,https://www.kayak.co.uk/London-Hotels_Regent-Street.L168198.28501.hotel.ksp,luxury,100-200,Westminster,High,"4-5 star, luxury-bra"
Hotels near Regent Street in London,https://www.trip.com/hot/hotels-near-regent-street/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
"Hotels near Regent Street, London",https://at-london-hotels.com/near-regent-street-1037124,luxury,200+,Westminster,High,"4-5 star, group-focu"
"Hotels near Riverside Studios, London",https://www.at-london-hotels.com/ar/near-riverside-studios-378568/,luxury,50-100,Hammersmith & Fulham,High,"4-5 star, group-focu"
"Hotels near St. James's Palace, London",https://www.at-london-hotels.com/en/near-st-james-s-palace-235934/6/,luxury,200+,Westminster,High,"4-5 star, group-focu"
Hotels with Meeting Rooms,https://thecollectionevents.com/venue-event/meeting-rooms/hotels-with-meeting-rooms/,boutique,100-200,Westminster,High,"5-star, 100-200 room..."
House Hotel,https://www.montcalmroyallondoncity.co.uk/meetings-and-conferences-112.html,business,50-100,City,High,"Luxury/5-star, Group-ready"
Hyatt Centric London,https://london.centric.hyatt.com,business,100-200,Southwark,High,4-5 star with meeting/ballroom facilities
Hyatt Regency London Blackfriars Uk,https://www.booking.com/hotel/gb/hyatt-regency-london-blackfriars-uk.html,luxury,200+,Piccadilly,High,"100+ rooms, luxury p"
Hyatt Regency London Blackfriars Uk.En Gb,https://www.booking.com/hotel/gb/hyatt-regency-london-blackfriars-uk.en-gb.html,luxury,200+,Piccadilly,High,"100+ rooms, luxury p"
Hyatt Regency London Churchill,https://www.hyatt.com/hyatt-regency/londa-hyatt-regency-london-the-churchill,business,100-200,Mayfair,High,"4-star, 100+ rooms, business"
I did not stay at the hotel Hotel,https://hiltoncanarywharf.londonahotel.com/en/,business,200+,West End,High,"Group-ready, Large venue"
Ibis Styles Southwark Rose.Londonhotelsgb,https://ibis-styles-southwark-rose.londonhotelsgb.com/,chain,Unknown,Southwark,High,Luxury property | group-focused
Ibisstylesmarket.Londonahotel,https://ibisstylesmarket.londonahotel.com/en/,chain,100-200,Southwark,High,100+ rooms | group-focused
Ibisstylesmarketlondon.Uk Hotel,https://ibisstylesmarketlondon.uk-hotel.co.uk/en/,chain,100-200,Southwark,High,4-star | 100+ rooms
Ihg,https://www.ihg.com/kimptonhotels/hotels/us/en/fitzroy-london-hotel-uk/lonlp/hoteldetail/meetings-events/weddings,luxury,50-100,Central London,High,luxury; group events
Index.Shtml,https://www.accorhotels.com/gb/hotel-5309-pullman-london-st-pancras/index.shtml,chain,Unknown,King's Cross,High,Luxury property | group-focused
Inhabit Queens Gardens Design Hotels,https://www.booking.com/hotel/gb/inhabit-queens-gardens-design-hotels.html?label=gen173nr-1BCAsoUEIkaW5oYWJpdC1xdWVlbnMtZ2FyZGVucy1kZXNpZ24taG90ZWxzSAlYBGiqAogBAZgBMbgBB8gBDNgBAegBAYgCAagCA7gCyM-KwQbAAgHSAiRhNjljNDQ3YS05YTJmLTQ2NTAtYTlhYy1mMTIxN2VkZGJiYTLYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,boutique,200+,Westminster,High,"100+ rooms, group-ca"
Inhabit Queens Gardens Design Hotels.En Gb,https://www.booking.com/hotel/gb/inhabit-queens-gardens-design-hotels.en-gb.html,boutique,200+,Westminster,High,"100+ rooms, group-ca"
Inhabit Queens Gardens Design Hotels.Fr,https://www.booking.com/hotel/gb/inhabit-queens-gardens-design-hotels.fr.html,boutique,200+,Kensington,High,"100+ rooms, group-ca"
Inhabit Southwick Street Design Hotels,https://www.booking.com/hotel/gb/inhabit-southwick-street-design-hotels.html?label=gen173nr-1BCAsoUEImaW5oYWJpdC1zb3V0aHdpY2stc3RyZWV0LWRlc2lnbi1ob3RlbHNIHFgEaLACiAEBmAExuAEYyAEM2AEB6AEBiAIBqAIEuAKHzMbABsACAdICJDYzYjU0NzlkLTAwMzItNGYzYi05NGJkLTE3ZWFiZjYxZTA4MtgCBeACAQ&dist=0&keep_landing=1&sb_price_type=total&type=total,boutique,200+,Westminster,High,"100+ rooms, group-ca"
InterContinental London,https://www.cvent.com/venues/en-US/barcelona/luxury-hotel/intercontinental-london-the-o2/venue-9effcd9a-d35d-4ad2-bb39-3907df63ab6b?aCode=JQNW8LZYN9H&aComp=true&aCompId=509a4595-ad6a-4e02-9717-a0ae8c1568dd&aPos=7&aType=suggested_ad&ts=1768765925619,luxury,50-100,Central London,High,luxury
InterContinental London Park Lane,https://www.ihg.com/intercontinental/hotels/gb/en/london/lonpl/hoteldetail,luxury,200+,Mayfair,High,"5-star luxury, 200+ rooms, Mayfair"
Intercontinental London The 02 Arena,https://www.booking.com/hotel/gb/intercontinental-london-the-02-arena.html?label=gen173nr-1BCAsoUEIkaW50ZXJjb250aW5lbnRhbC1sb25kb24tdGhlLTAyLWFyZW5hSAlYBGirAogBAZgBMbgBGMgBDNgBAegBAYgCAagCBLgC16i4wAbAAgHSAiQxNGY1NDg2Ny05MjRkLTQ1NTQtYTZkNS00NzExZTUyZTQyZjjYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Piccadilly,High,"100+ rooms, luxury p"
Intercontinental London The 02 Arena.Nl,https://www.booking.com/hotel/gb/intercontinental-london-the-02-arena.nl.html,luxury,200+,Piccadilly,High,"100+ rooms, luxury p"
InterContinental London The O2,https://www.ihg.com/intercontinental/hotels/gb/en/london,luxury,200+,Greenwich,High,4-5 star with meeting/ballroom facilities
Johnsandersweddings,https://www.johnsandersweddings.com/five-best-luxury-london-hotel-wedding-venues/,luxury,50-100,Central London,High,luxury; group events
JW Marriott Grosvenor House,https://www.marriott.com/en-us/hotels/lonjw-jw-marriott-grosvenor-house-london/,business,200+,Mayfair,High,"4-star, 200+ rooms, luxury"
Knightsbridge Hotel,https://www.the-berkeley.co.uk/ ,independent,50-100,City,High,"Luxury/5-star, Group-ready"
"Knightsbridge Hotel London, London, England : Five Star Alliance",http://www.fivestaralliance.com/luxury-hotels/london-england/knightsbridge-hotel,luxury,100-200,Knightsbridge,High,luxury-boutique +...
Lanesborough,http://www.lanesborough.com/,business,Unknown,Southwark,High,Luxury property | group-focused
Leonardo Royal Hotel London Tower Bridge,https://www.leonardo-hotels.com/london/leonardo-royal-hotel-london-tower-bridge,luxury,200+,Tower Hamlets,High,"4-5 star, group-focu"
Leonardo Royal London,https://www.leonardo-hotels.com/london/leonardo-royal-hotel-london-city/meeting,luxury,200+,Central,High,Luxury 4-5 star grou
Letsbookhotel,https://www.letsbookhotel.com/en/uk/london/hotel/best-western-premier-shaftesbury-hotel.aspx,luxury,100-200,Westminster,High,"4-5 star, group-focu"
London at Tower Bridge,https://www.timeout.com/london/hotels/four-seasons-hotel-london-at-tower-bridge,luxury,100-200,Borough,High,"100+ rooms, luxury p"
London Bridge Hotel,https://www.londonbridgehotel.com/meetings-events/workshop-rooms-london-bridge/,luxury,200+,South Bank,High,Luxury 4-5 star grou
London Excel,https://www.booking.com/hotel/gb/london-excel.html,luxury,200+,Victoria,High,"100+ rooms, luxury p"
London Excel.En Gb,https://www.booking.com/hotel/gb/london-excel.en-gb.html,luxury,200+,Victoria,High,"100+ rooms, luxury p"
London Hilton on Park Lane,https://www.hiltonlondonparkla.com,luxury,200+,Mayfair,High,4-5 star with meeting/ballroom facilities
London Hotel,https://apexcityof.londonahotel.com/en/,business,200+,City,High,"Group-ready, Large venue"
London Hotels near Hammersmith,https://all.accor.com/a/en/destination/place/hotels-hammersmith-ci2844.html,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
London Hq,https://london-hq.co.uk/venue-directory/raffles-london-at-the-owo/,luxury,50-100,Central London,High,luxury-boutique +...
London Marriott County Hall,https://www.booking.com/hotel/gb/london-marriott-county-hall.html?label=gen173nr-1BCAsoUEIbbG9uZG9uLW1hcnJpb3R0LWNvdW50eS1oYWxsSAlYBGiVAogBAZgBMbgBF8gBDNgBAegBAYgCAagCA7gCnZrHwAbAAgHSAiQ3OGUwNWUxNi0xMTMxLTQ3MzEtYTA4NS00YmU5YmQwMjZhODXYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Westminster,High,"100+ rooms, luxury p"
London Marriott Grosvenor Square.En Gb,https://www.booking.com/hotel/gb/london-marriott-grosvenor-square.en-gb.html,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
London Marriott Hotel Canary Wharf,https://www.marriott.com/en-us/hotels/loncw-london-marriott-hotel-canary-wharf/,business,200+,Canary Wharf,High,Financial district Marriott
London Marriott Hotel Regent's Park,https://www.adaytoremember.london/venues/grosvenor-house-jw-marriott-hotel,chain,200+,Central London,High,200+ rooms; group events
London Marriott Hotel Regents Park,https://www.marriott.com/hotels/travel/lonrt-london-marriott-hotel-regents-park/,business,100-200,Regent's Park,High,"4-star business hotel, corporate meetings, group rates"
London Marriott Maida Vale Hotel,https://marriott-maida-vale.londonhotelsgb.com/,luxury,200+,Islington,High,"Premium, 100+ rooms, group events"
London Marriott Park Lane.En Gb,https://www.booking.com/hotel/gb/london-marriott-park-lane.en-gb.html,boutique,200+,Westminster,High,"100+ rooms, group-ca"
London Meeting Rooms & Event Venues,https://www.doylecollection.com/hotels/the-doyle-collection/london-groups-events,luxury,50-100,West End,High,"Luxury/5-star, Group-ready"
London Regent’s Park Hotel & Event Venue,https://www.memoriesmademarriott.co.uk/londonregentspark,chain,100-200,Central London,High,50+ rooms + group...
London.En Gb,https://www.booking.com/design/city/gb/london.en-gb.html,boutique,200+,Soho,High,"100+ rooms, luxury p"
London/LaSWAP Sixth Form Consortium Top Hotel Picks,https://www.hopegoo.com/en-us/hot-hotels/landmark/laswap-sixth-form-consortium-3063572/,chain,50-100,Westminster,High,"5-star, 50-100 rooms..."
Londonolympia,https://www.booking.com/hotel/gb/londonolympia.html?aid=,luxury,200+,Kensington,High,"100+ rooms, luxury p"
Londonolympia.En Gb,https://www.booking.com/hotel/gb/londonolympia.en-gb.html,luxury,200+,Kensington,High,"100+ rooms, luxury p"
Lonlc The Park Tower Knightsbridge A Luxury Collection Hotel London,https://www.marriott.com/en-us/hotels/lonlc-the-park-tower-knightsbridge-a-luxury-collection-hotel-london/own/,chain,Unknown,Knightsbridge,High,Luxury property | group-focused
Luxury 5 Star Hotel,http://www.shangri-la.com/London,luxury,100-200,Central London,High,luxury-boutique +...
Luxury 5 Star Hotel in London,https://www.shangri-la.com/en/london/shangrila,luxury,100-200,Central London,High,luxury-boutique +...
Luxury 5-Star Hotel London,https://hotelcaferoyal.com/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Luxury Events & Weddings London,https://themayfairhotel.co.uk/en/meetings-and-events.html,luxury,200+,Mayfair,High,"Luxury/5-star, Group-ready"
